Epoch: 2/30 | Batch: 219/439 | Loss: 1005805.6157894736 | Elapsed Time:    00:02:06
Epoch: 2/30 | Batch: 229/439 | Loss: 851640.735 | Elapsed Time:    00:02:08
Epoch: 2/30 | Batch: 239/439 | Loss: nan | Elapsed Time:    00:02:10
Epoch: 2/30 | Batch: 249/439 | Loss: nan | Elapsed Time:    00:02:12
Epoch: 2/30 | Batch: 259/439 | Loss: nan | Elapsed Time:    00:02:14
Epoch: 2/30 | Batch: 269/439 | Loss: nan | Elapsed Time:    00:02:16
Epoch: 2/30 | Batch: 279/439 | Loss: nan | Elapsed Time:    00:02:19
Epoch: 2/30 | Batch: 289/439 | Loss: nan | Elapsed Time:    00:02:21
Epoch: 2/30 | Batch: 299/439 | Loss: nan | Elapsed Time:    00:02:24
Epoch: 1/30 | Batch: 9/439 | Loss: 24243.259854053314 | Elapsed Time:    00:00:06
Epoch: 1/30 | Batch: 19/439 | Loss: 27244.446976817042 | Elapsed Time:    00:00:11
Epoch: 1/30 | Batch: 29/439 | Loss: 31293.10098773842 | Elapsed Time:    00:00:16
Epoch: 1/30 | Batch: 39/439 | Loss: 21351.615342565598 | Elapsed Time:    00:00:21
Epoch: 1/30 | Batch: 49/439 | Loss: 26374.392264660495 | Elapsed Time:    00:00:25
Epoch: 1/30 | Batch: 59/439 | Loss: 20711.029718137255 | Elapsed Time:    00:00:29
Epoch: 1/30 | Batch: 69/439 | Loss: 20442.46660223368 | Elapsed Time:    00:00:34
Epoch: 1/30 | Batch: 79/439 | Loss: 19284.020040760868 | Elapsed Time:    00:00:38
Epoch: 1/30 | Batch: 89/439 | Loss: 16212.620090996168 | Elapsed Time:    00:00:41
Epoch: 1/30 | Batch: 99/439 | Loss: 15704.197599085366 | Elapsed Time:    00:00:45
Epoch: 1/30 | Batch: 109/439 | Loss: 14320.848195043103 | Elapsed Time:    00:00:48
Epoch: 1/30 | Batch: 119/439 | Loss: 12478.218822337964 | Elapsed Time:    00:00:52
Epoch: 1/30 | Batch: 129/439 | Loss: 11789.732750618812 | Elapsed Time:    00:00:55
Epoch: 1/30 | Batch: 139/439 | Loss: 10442.575971283784 | Elapsed Time:    00:00:57
Epoch: 1/30 | Batch: 149/439 | Loss: 11928.824150219298 | Elapsed Time:    00:01:00
Epoch: 1/30 | Batch: 159/439 | Loss: 15893.82927684295 | Elapsed Time:    00:01:03
